var,label
hh1,Cluster number
hh2,Household number
ln,Line number
wm1,Cluster number
wm2,Household number
wm3,Woman's line number
wmint,Interviewer number
wm4,Supervisor number
wm5,Interviewer number
wm6d,Day of interview
wm6m,Month of interview
wm6y,Year of interview
wm8,Respondent to another questionnaire
wm9,Consent
wm17,Result of woman's interview
wm7h,Start of interview - Hour
wm7m,Start of interview - Minutes
wm10h,End of interview - Hour
wm10m,End of interview - Minutes
wm11,Interview completed in private
wm12,Language of the Questionnaire
wm13,Language of the Interview
wm14,Native language of the Respondent
wm15,Translator used
wmhint,Household interviewer
intromm,Introduction MM Listing
mmaux,Other brother/sisters
wmfin,Finish
wb3m,Month of birth of woman
wb3y,Year of birth of woman
wb4,Age of woman
wb5,Ever attended school
wb6a,Highest level of school attended
wb6b,Highest grade attended at that level
wb7,Ever completed that grade/year
wb9,Attended school during current school year
wb10a,Level of education attended current school year
wb10b,Grade attended at that level during current school year
wb11,Attended school previous school year
wb12a,Level of education attended previous school year
wb12b,Grade attended at that level during previous school year
wb14,Can read part of the sentence
wb15,Duration of living in current place
wb16,Place of living prior to moving to current place
wb17,Region prior to moving to current place
wb18,Covered by health insurance
wb19a,Type of health insurance: Mutual health organization / Community-based health insurance
wb19b,Type of health insurance: Health insurance through employer
wb19c,Type of health insurance: Social security
wb19d,Type of health insurance: Other privately purchased commercial health insurance
wb19x,Type of health insurance: Other
wb19nr,Type of health insurance: No response
mt1,Frequency of reading newspaper or magazine
mt2,Frequency of listening to the radio
mt3,Frequency of watching TV
mt4,Ever used a computer or a tablet
mt5,Computer / tablet usage in the last 3 months
mt6a,During the last 3 months: Copy or move a file or folder
mt6b,During the last 3 months: Use a copy / paste in document
mt6c,During the last 3 months: Send e-mail with attached file
mt6d,During the last 3 months: Use a basic arithmetic formula in a spreadsheet
mt6e,During the last 3 months: Connect and install a new device
mt6f,During the last 3 months: Install and configure software
mt6g,During the last 3 months: Create an electronic presentation
mt6h,During the last 3 months: Transfer a file
mt6i,During the last 3 months: Write a computer program
mt9,Ever used internet
mt10,Internet usage in the last 3 months
mt11,Own a mobile phone
mt12,Mobile phone usage in the last 3 months
cm1,Ever given birth
cm2,Any sons or daughters living with you
cm3,Sons living with you
cm4,Daughters living with you
cm5,Any sons or daughters not living with you
cm6,Sons living elsewhere
cm7,Daughters living elsewhere
cm8,Ever had child who later died
cm9,Boys dead
cm10,Girls dead
cm11,Children ever born
cm12,Confirm total number of children ever born
cm15,Check total number of children ever born
cm17,Live births in last two years
bh11,Any other live births
mn2,Received prenatal care
mn3a,Prenatal care provider: Doctor
mn3b,Prenatal care provider: Nurse/Midwife
mn3f,Prenatal care provider: Traditional birth attendant
mn3g,Prenatal care provider: Community health worker
mn3h,Prenatal care provider. Religious birth attendant
mn3x,Prenatal care provider: Other
